genus	BB	BD	BN	CS	CT	FD	FJ	FL	JTW	LH	WS	WZ	XZY	YJC	YW	YY	ZG	ZX	BB2	BD2	BN2	CS2	CT2	FD2	FJ2	FL2	JTW2	LH2	WS2	WZ2	XZY2	YJC2	YW2	YY2	ZG2	ZX2	BB3	BD3	BN3	CS3	CT3	FD3	FJ3	FL3	JTW3	LH3	WS3	WZ3	XZY3	YJC3	YW3	YY3	ZG3	ZX3
g__Sellaphora	4.48612E-05	0	0.001061967	2.12274E-05	0.000902099	0	0	0	0.000220781	0.000281532	0.001131622	0	0.003252368	6.11434E-05	8.97505E-05	8.73439E-05	7.59734E-05	0	3.76053E-05	0.00073599	0.000111386	0.001622889	8.4868E-05	0.002776413	0.000252653	0.001011042	0.00049487	0.000123985	0.007241624	0.00502432	0.001591625	0.001778977	0.002804527	0.007119722	0.000475865	0.010787056	0.000201755	0	0.000310039	0	0	0	0	0.001062566	0	0	0	0	9.85562E-05	0.001302976	0	3.13794E-05	0	0.000152579
g__Coscinodiscus	0	0.001577362	0.000242203	0.000212274	9.49577E-05	0.000552988	0	0.000190959	0.002373396	0.00098536	0.000353632	0.000998526	0.000361374	0	0	0.00021836	3.79867E-05	0	3.76053E-05	0.000105141	0	3.00535E-05	2.1217E-05	0.00014742	9.18738E-05	5.32127E-05	3.29913E-05	0	2.62378E-05	5.34502E-05	0	0	7.44565E-05	0	0	0.000119856	0	0	0	0	0	0	0	0	0	0	6.00402E-05	0	0	0	9.37163E-05	0	0	0
g__Melosira	0.001884168	0.000908178	0.000670716	0.003608652	0.000569746	0.001777462	0	0.001882314	0.004250034	0.001097973	0.001202348	0.003280871	5.16249E-05	0.000122287	0.000269251	0.000698751	0.000417854	0.000119033	0.019968412	0.009392633	0.015905901	0.005740218	0.003352287	0.00965602	0.005076026	0.012558201	0.025898189	0.016675966	0.007215386	0.014565183	0.006684823	0.005367604	0.006403256	0.006215167	0.002944413	0.013623652	0.001513165	0	0.011688473	0.011430361	0.00041671	0.000451022	0.007251051	0.001093818	0.003103448	0.001707942	0.000390261	0.007205951	0.001478342	0.000754355	0.000281149	0.003796912	0.001674263	0.008269759
g__Guinardia	0	0.000334592	0	0	0	0	0	0.000245519	0.000165586	0	0	0	0	0	0	0.000436719	0	0	3.76053E-05	3.50471E-05	0	0.000390695	0.001400322	7.37101E-05	0	7.98191E-05	0.000527861	6.19924E-05	5.24755E-05	8.01753E-05	0.000353694	0	0.000496376	0	2.97415E-05	0.000119856	0	0	0	0	0	6.68181E-05	4.4485E-05	3.1252E-05	0	0	0.000510342	9.298E-05	0	0.000205733	9.37163E-05	0.000219656	0	0.001525786
g__Rhizosolenia	0	9.55977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52106E-05	0	0	0	2.1217E-05	0.000835381	6.89053E-05	0	6.59826E-05	3.09962E-05	2.62378E-05	2.67251E-05	0	0	4.96376E-05	0	0	0	0	0.013226114	0.001550195	0.001539706	0	0.005946813	0.004782135	0.001250078	0	8.53971E-05	0.010897301	0.00306834	0.008229439	0.05006172	0.015931775	0.002133802	0.063994047	0.000305157
g__Cyclostephanos	0	0	0.000111786	6.36821E-05	3.16526E-05	0	0	0	0	2.81532E-05	0	0	0	0	0	0	0	0	0.006204874	0.073914415	0.013433135	0.016890064	0.016655351	0.05968059	0.052850384	0.031501929	0.020619577	0.02073647	0.061238947	0.01769202	0.186043221	0.169953685	0.231733347	0.042776692	0.212592571	0.071114662	0.000201755	0	0.000682086	0.000808998	0.00083342	0.000150341	0.008096265	0.00543784	0.002586207	0.000341588	0.000480322	0.025941423	0.000492781	0	9.37163E-05	0.025950797	0	0.011901129
g__Cyclotella	0	0	5.5893E-05	0	0	0	0	0	0	0	0.000141453	0	0	0.000489147	8.97505E-05	0	0.000151947	0	0.127519555	0.170924894	0.202388113	0.068491916	0.210005941	0.144078624	0.200078093	0.237302115	0.071393224	0.09565433	0.202266943	0.052514832	0.08930782	0.045486612	0.075498858	0.055527997	0.115635131	0.114982022	0.000706143	0.002574683	0.099150493	0.022364884	0.255964163	0.003173861	0.03156209	0.120820051	0.068275862	0.07292912	0.007685149	0.049744305	0.003104519	0.020984776	0.002342908	0.013650056	0.002185843	0.108086665
g__Stephanodiscus	0.000224306	0.000238994	0.00281328	0.002462374	0.000886272	0.002211952	0.000309119	0.024306408	0.00535394	0.003350225	0.004809392	0.000380391	0.000696936	0.000122287	0.000807754	8.73439E-05	0.002355176	0.0003571	0.08231799	0.057161883	0.004655929	0.018512953	0.024060087	0.039041769	0.113257384	0.029133963	0.009534492	0.004897403	0.200010495	0.033112406	0.060021929	0.057019293	0.099176015	0.082693823	0.085447462	0.081542149	0	0	0.000341043	7.82901E-05	0.00041671	0.000283977	0.003113948	0.00431277	0.000172414	0.000768574	0.000150101	0.005857741	4.92781E-05	0.000274311	0	0.000282415	0	0.002105584
g__Skeletonema	0	0	0	0	0	0	0	0	0	5.63063E-05	0	0	0	0	0	0	0	0	0.217245788	0.354571899	0.243734545	0.053074473	0.320864805	0.433316953	0.303160458	0.14606891	0.43828973	0.447771372	0.32107155	0.19624245	0.30230255	0.210747477	0.257023727	0.201161332	0.282871844	0.235597283	0.001614042	7.05393E-05	0.029453711	0.106839949	0.02896135	0.011425899	0.028492627	0.192230764	0.015	0.047736977	0.009396296	0.121524872	0.003991524	0.009120834	0.001640036	0.02802184	0.001023161	0.157522124
g__Thalassiosira	0	0.000382391	0	6.36821E-05	0	0	0.000515198	0	0	0	0.000636537	0	0	0	0	0	3.79867E-05	0	0.000752106	0.004345845	0.000467821	0.000420749	0.000742595	0.002948403	0.008865818	0.002447785	0.001352644	0.003874527	0.007057959	0.003928591	0.002405121	0.000889489	0.002159238	0.001925827	0.001784493	0.002956452	0.000554827	0	9.30117E-05	0.000130484	0	0	0	9.37559E-05	0.004137931	0.005721605	0.000390261	9.298E-05	0	0	0	0	4.65073E-05	0.000732377
g__Ulnaria	0	0	0	0	3.16526E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0	0	0.000270481	0	0.001572482	4.59369E-05	0.002181721	0	0	0	0	0.000742758	0.00015336	0	0.001108809	2.97415E-05	0	0	0	0.002108266	0	0	0	0.002758068	6.25039E-05	0	0.000256191	3.00201E-05	0.00283589	0	0	0	0.007625204	0	0.001190113
g__Neobrightwellia	0	0	0	0	0	0	0	0	0	0	7.07264E-05	0	0	0	0	0	0	0	3.76053E-05	0.000630848	0	0	0	0	0	0	0	0.003471576	0	0	0	0	0	0.000320971	0.000475865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Eucampia	0.103404962	0.022083074	0.127678205	0.06238723	0.206453961	0.066714066	0.004018547	0.269089123	0.19511522	0.316582207	0.058349247	0.001711759	0.001703621	0.015897279	0.006282535	0.003319067	0.007977208	0.005475539	3.76053E-05	3.50471E-05	0.000245049	0.001051872	0.000127302	0.002014742	9.18738E-05	0.002261541	6.59826E-05	0.000278966	5.24755E-05	0.002191459	7.07389E-05	0.000122688	0	0.001021272	8.92246E-05	0.000399521	0	0	0	0	0.000104178	0	0.000244667	0	0.000689655	0	0.000300201	4.649E-05	0	0	0	0	0	3.05157E-05
g__Hemiaulus	0	0	0	0	0	0	0.002266873	0.001227596	0	0	0	0	0	0	0	0	0	0	0.005302347	0.001331791	4.45543E-05	0.00180321	0.000742595	0.002383292	0.000390464	0.00234136	0.00524562	0.000526936	0.002886154	0.007108878	0.000212217	0	7.44565E-05	0.008753757	8.92246E-05	0.024530563	0.000353072	0	3.10039E-05	0	0	3.34091E-05	0.000155697	0.000218764	0.00637931	0	0	9.298E-05	0	0	0	9.41383E-05	0	6.10314E-05
g__Helicotheca	0	9.55977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000451264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lithodesmium	0	0.000621385	0	0	0	0	0	2.72799E-05	8.27929E-05	0	0	0.000142647	2.58124E-05	0.000305717	0.000179501	0	0	0	0.000225632	0.000595801	0.000111386	0.000330588	0.000106085	0.001375921	0.000367495	0.000425702	0.000131965	6.19924E-05	0.001731693	0.001095729	0.000495172	0.00030672	0.001414673	0.001400601	0.000178449	0.000319616	0.003883789	0	0.00055807	5.21934E-05	0.000208355	0	0	0.000406275	0.013103448	0.003928266	0.000210141	0.00018596	0	0	0	0	0	0.00363137
g__Chrysochromulina	0	0	0	0	4.74789E-05	0	0	8.18398E-05	0	0	0	0	0	0	0	0	0	0	0.126579422	0.008165983	0.018957874	0.000721284	0.031507256	0.061916462	0.035601084	0.003538646	0.034673881	0.052569587	0.015139191	0.050269924	0.006437237	0.000337392	0.001365035	0.025006565	0.001397853	0.029764283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neoporphyra	0	0.014100664	0	0	0	0	0	0	0	5.63063E-05	0.000990169	0	5.16249E-05	6.11434E-05	0	0	0	0	0.019291516	0.006939333	0.008732652	0.003245777	0.023126538	0.005577396	0.005351647	0.007928695	0.025139388	0.05647511	0.006769344	0.01900155	0.012768366	0.006195749	0.008835501	0.017799306	0.015554829	0.007990412	0.014173308	0.796247311	0.371860854	0.246718338	0.046358996	0.509571696	0.625325296	0.205200325	0.081551724	0.146626815	0.33073159	0.412552301	0.071551767	0.224043341	0.220373928	0.462344672	0.579527486	0.248153799
g__Cavernulicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.59734E-05	0	0.006242479	0.00171731	0.000378712	0.002825029	0.002949164	0.001670762	0.000482337	0.00431023	0.001121705	0.000495939	0	0.001656957	0.000884236	0.00015336	0.001216122	8.75376E-05	0.00077328	0.00271674	0	0	0	0	0	0	8.897E-05	0.000468779	0	0.000341588	0	9.298E-05	0	0	0	0.00056483	0	0
g__Nocturama	0	0	0	0	0	0	0	0	0	0	0	0	2.58124E-05	0.000428004	0	0	0	0	3.76053E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paralemanea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.59734E-05	0	0.000188026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Membranoptera	0.000942084	0.000238994	0	0.001061368	0.000411484	0	0	0	0.002345798	0.001182432	0.000353632	0	0	6.11434E-05	0.000448752	0	3.79867E-05	0	0.000188026	0	0	0	0	0	0	0	0	0	0	0	7.07389E-05	6.1344E-05	2.48188E-05	0	0	0	5.04388E-05	7.05393E-05	0.001333168	2.60967E-05	0	0.00018375	0.000467092	0.000125008	0	0	0.000300201	4.649E-05	9.85562E-05	0.001645865	0.000796589	6.27589E-05	0.000744117	0
g__Pseudophycodrys	8.97223E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112816	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96376E-05	0	0	0	5.04388E-05	0.017246852	0.000961121	0.000913385	0.000312533	0.005028064	0.006472564	0.001500094	0	0.000170794	0.011257543	0.0032543	0.012270241	0.076807022	0.023616513	0.002541735	0.066458934	0.000488251
g__Eutrichosiphonia	4.48612E-05	0	0	0	0	0	0	0	0	0	0	0.000475489	0	0.000917151	0.001615509	0.000262032	0	0	0.001316185	0.000841131	0.000289603	0	0.000275821	0.00022113	2.29684E-05	2.66064E-05	0.000230939	0.000123985	0.000209902	0	7.07389E-05	9.20161E-05	7.44565E-05	5.83584E-05	0.000297415	0.000359569	0	0	0	0	0	0	0	6.25039E-05	0	0	0	0	0	0	0	0	0	0
g__Pterosiphonia	0	0	0	0	0	0	0	0	0	0	0	9.50977E-05	5.16249E-05	0	0	0	0	0	0.000188026	0	0.003720288	0	0.004985997	4.914E-05	0.000344527	0.005001995	0.00049487	0.004339471	0	0	0	0	0	0	0	0	0	0	0.001054133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Savoiea	0.005114172	9.55977E-05	0.002794649	0.001231187	0.00055392	0.000138247	0	0.000245519	0.000303574	0.000168919	0.000353632	4.75489E-05	0.00010325	6.11434E-05	0.000179501	0.000131016	0.000493827	0.000119033	0.000263237	0	0	0	0	0	0	0.000133032	0	0	0	0	0	0	0	0	0	0	0	0	6.20078E-05	0	0	0	8.897E-05	0.000343771	0	0	3.00201E-05	0	0	0	9.37163E-05	0.000125518	4.65073E-05	6.10314E-05
g__Neogoniolithon	0	4.77989E-05	1.8631E-05	0	0	0	0	0	0.000165586	0.000844595	0	0.000475489	2.58124E-05	0	8.97505E-05	0	0	0	3.76053E-05	0	0	6.0107E-05	0	4.914E-05	2.29684E-05	0.000744978	0	0	5.24755E-05	2.67251E-05	0	0	4.96376E-05	8.75376E-05	0	0	0	0	0	0	0	0	0	0.000187512	0	0	0	0	0	0	0	0	0	0
g__Thorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000300842	3.50471E-05	2.22772E-05	0	0.000148519	0	0	0	9.8974E-05	0.000278966	0	0	0.001414777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pedospumella	0	0.000764782	0.002291612	0.000127364	0.001060361	1.97496E-05	0.00010304	0.00010912	0.004581206	0.000619369	0	0	5.16249E-05	0	0	0	3.79867E-05	0	0.002933213	0.002348158	0.012207891	0.005650057	0.03133752	0.002063882	0.000413432	0.006864441	0.007917918	0.017357882	0.000131189	0.000347426	0.006048173	0.001441585	0.002506701	0.001604855	0.001873717	0.00135837	0.000100878	0.002327796	0.058659391	0.031420444	0.004687988	0.002939997	0.037656532	0.089068067	0.002068966	0.001280956	0.086517967	0.026638773	0.006110481	0.00685777	0.024787967	0.011861428	0.039159148	0.030424168
g__Dinobryon	0.000314028	0	1.8631E-05	4.24547E-05	0	3.94992E-05	0	0	8.27929E-05	0.000816441	7.07264E-05	0	0.00010325	0	0	4.36719E-05	0	0	0.000188026	0.003750044	0.000913364	0.000120214	0.000127302	0.000786241	0.002227939	0.00234136	0.000296922	0.000433947	0.002807441	0.001496606	0.000176847	0.000552096	0	0.002042543	5.94831E-05	0.003276069	0.000151316	7.05393E-05	0.003131395	0.000339257	0.000208355	0.000283977	0.005449409	0.001718857	0.002758621	0	0.001561046	0.00488145	0.003991524	0	0.000937163	0.003828292	0.000139522	0.005309735
g__Poteriospumella	0.000224306	0.001720759	0.000894288	0.001464688	0.000474789	0.000612237	0.001442555	0.001063917	0.006706223	0.003068694	0.000919443	0.002377443	0.000129062	0.00055029	0.000359002	0.000655079	0.000417854	0.001785502	7.52106E-05	0.000210283	0.000356435	0.000450802	0.000403123	0.00031941	0	0.000345883	0.001913497	0.00024797	5.24755E-05	0.000160351	0.000954975	9.20161E-05	0.001240941	0.000379329	0	0	0	0	6.20078E-05	0.00174848	0	1.67045E-05	0.002335461	9.37559E-05	0	0	3.00201E-05	0.00018596	0.00128123	0.000205733	0.00178061	0.000282415	0.002046321	0
g__Paraphysomonas	0.047687407	0.038382486	0.149085218	0.017342758	0.010714399	0.013251965	0.002266873	0.205717871	0.031406099	0.036176802	0.037626423	0.001521563	0.006375674	0.041332926	0.051965536	0.003450083	0.030769231	0.069634567	3.76053E-05	3.50471E-05	0.001247522	0.001622889	0.001463974	0.00034398	0.000160779	0.004443262	0.000857774	0.001549811	0	8.01753E-05	0.000106108	0.00061344	0	8.75376E-05	2.97415E-05	0.000319616	0	0	0.001550195	0.001409223	0	0.00018375	0.000578305	0.002156385	0	0.000256191	0.00012008	0.00102278	0.00024639	0.000480044	0.00051544	0.004079327	0	6.10314E-05
g__Apoikiospumella	4.48612E-05	0.001147173	0.001844468	0.00193169	3.16526E-05	0.000849232	0	0.000327359	5.51953E-05	0.003800676	0.000212179	0.002852931	0.0002065	0	8.97505E-05	0.000742423	0	0.004166171	3.76053E-05	0	0.000178217	0.000390695	0.00142154	0.00022113	0	0.000106425	0.000131965	0.001425826	0	0	0	0	0	2.91792E-05	0	0.000239712	0	0.000105809	0.004185527	0.000808998	0.002291905	0	0.002624614	6.25039E-05	0	0	0.005013359	0.006276151	0	0.000137155	0.001452603	0.00282415	0.007952749	0.000183094
g__Segregatospumella	0.000179445	0.000286793	0.000130417	0.000148592	3.16526E-05	1.97496E-05	0	5.45598E-05	0.000110391	0.000168919	0.000141453	9.50977E-05	0	6.11434E-05	0	0	0.00045584	0.000238067	0.000225632	3.50471E-05	0	0	0.004307053	0	0	7.98191E-05	0.000230939	0.001239849	0	0	0	0.000276048	0	0	5.94831E-05	7.99041E-05	0.000100878	0.000740662	0.026942395	0.000130484	0.000104178	0	0.006828444	0	0.000344828	0	0.006604425	0.00037192	4.92781E-05	0.000137155	0.00178061	0.000188277	0.006045949	0.000488251
g__Cryptomonas	0	9.55977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000303894	0	0.045615223	0.020292293	0.008799483	0.023802368	0.014151744	0.0102457	0.003376361	0.021231874	0.030681931	0.03319695	0.004853987	0.017611845	0.008347186	0.008986903	0.006204706	0.010533687	0.010469024	0.008789453	0.000504388	0.000705393	0.000527066	5.21934E-05	0	0	0	0	0	0	0.000300201	9.298E-05	0.000492781	0.000274311	0.000140574	0.001412075	0	0
g__Chroomonas	0	0	0	0	0	0	0	5.45598E-05	0	0	0	0	0	0	0	0	0	0	7.52106E-05	7.00943E-05	0	0	6.3651E-05	0.00022113	0	5.32127E-05	0	0	0	8.01753E-05	0.000176847	0.000245376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00402E-05	0	0	0	0	0	0	0.000701861
g__Guillardia	0.000314028	4.77989E-05	1.8631E-05	0	3.16526E-05	0	0	0	2.75976E-05	0	0	0.000142647	0	0	0	0	0	0	0.001052948	0	0.00015594	0.000300535	2.1217E-05	0.000859951	4.59369E-05	0.000133032	9.8974E-05	0	0	0.000320701	0.000176847	0.000214704	0.000347464	0.000175075	8.92246E-05	0	0	0	0	0	0	0	0	0	0	0	9.00603E-05	0	0.000197112	0.004594706	0	0	0	0.000549283
g__Florenciella	0	0	0	0	0	0	0	0	0	0	0	0.000332842	7.74373E-05	0	0	0	0	0	3.76053E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudopedinella	0	0.000191195	7.4524E-05	0.000148592	0.000110784	7.89983E-05	0.000309119	0	0.000496757	0	0.000212179	9.50977E-05	2.58124E-05	0	0	0	0	0.007380074	0.000902527	0	0	0	8.4868E-05	0.00046683	2.29684E-05	0.000133032	3.29913E-05	3.09962E-05	0.000157427	0	0.000141478	0	0.000496376	0.000175075	0	0.000519377	0	0.021479209	0.001457184	0.000965578	0.000208355	0.007834425	0.007273293	0.002093881	0	0	0.015700519	0.00478847	0.014931257	0.083459059	0.029098918	0.003420359	0.086875639	0.000610314
g__Kryptoperidinium	0	0	0	0.001592052	4.74789E-05	7.89983E-05	0	0.002346073	0.00046916	2.81532E-05	0	0.000332842	0	0	0	0	0	0	3.76053E-05	0.002137875	0.000846533	0.001021819	0.000106085	0.002776413	0.001401075	0.000372489	0.029461252	0.00229372	0.009052029	0.003313913	0.00187458	0.011839401	0.001886231	0.003822474	8.92246E-05	0.000319616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188277	0	0
g__Nannochloropsis	0.001435557	0.007600019	0	0	0.001123667	0	0	0.000300079	0.000745136	0	0	0	0.000232312	0	0	0	0.003304843	0	0.008762034	0.005677636	0.006839092	0.008114444	0.005643724	0.005307125	0.004639625	0.009152587	0.001352644	0.003595561	0.005798546	0.008525309	0.007250734	0.007514646	0.009828254	0.003355607	0.011509978	0.003355973	0.008019772	0.037280006	0.023035903	0.029854641	0.019168663	0.031137244	0.064903579	0.058378649	0.031206897	0.008795901	0.012428327	0.066759647	0.006011925	0.008709368	0.005435547	0.055384712	0.007394661	0.05926152
g__Aureococcus	0.011125566	0	0	0	0	0.000888731	0	0.000436479	0	0.000422297	0	0	0	0	0	0	0.001481481	0	0.018953069	0	0.000779701	0	0.000403123	0	0	0	0.000197948	6.19924E-05	0	0	0	0	0	0	0	0	0	0.000176348	0.008185031	0.018502571	0.000104178	0.003107043	8.897E-05	6.25039E-05	0.000862069	0.000683177	9.00603E-05	0	0.000788449	0	0.004310951	0	0	6.10314E-05
g__Cutleria	0.148849311	0.043783758	0.021891419	0.050584814	0.124109771	0.045147529	0.349304482	0.035436615	0.117703877	0.065287162	0.042718721	0.415909847	0.163986474	0.110730663	0.276880273	0.552056948	0.249648623	0.267468159	7.52106E-05	0	8.91087E-05	0	0.002376305	0	0	0.010935214	0.002276401	6.19924E-05	0	0	3.53694E-05	0	0	0	0	0.000239712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Canistrocarpus	4.48612E-05	0	0	0.000212274	1.58263E-05	0	0	0	0.000275976	2.81532E-05	0	0	0	0	0	0.000305704	0	0.000119033	0.000188026	0	0.000178217	3.00535E-05	2.1217E-05	0.00017199	0.000482337	2.66064E-05	0.0007588	0.000123985	0	0	3.53694E-05	0.000184032	0	0	5.94831E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dictyota	0	4.77989E-05	0	0	0	0	0	0	0	0	0	0.001949503	0.00010325	0.000489147	0.000538503	0.000262032	0.00011396	0	0.017072804	0.009953387	0.004121277	0.000390695	0.00454044	0.002285012	0.016537278	0.003166157	0.003892976	0.01056971	0.010967386	0.009834839	0.021186291	0.019476735	0.021344187	0.009074728	0.018826399	0.00679185	0.006304852	3.52696E-05	0.007533949	7.82901E-05	0	0.000133636	0.00482662	0.003812738	0.025862069	0.021605465	0.003932635	0.00041841	0.000147834	0.000822932	0.000468582	0.011265219	0.000232537	0.002319194
g__Lobophora	0	0	0	0	0	0	0.000206079	0	0	0	0	0	0	0	0	0	0	0	3.76053E-05	0	0.001603956	0.000150267	0.001166935	0.00039312	0.000114842	0.003405614	0.000725809	3.09962E-05	2.62378E-05	2.67251E-05	0.000318325	0.00061344	0	5.83584E-05	0	3.99521E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000617199	0	0	0	0
